dataset,model,batch_no,model_id,stage,attempt,error
tweet_sentiment,qwen_1_5b,4,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec7236-3e5406490ed082b12c2b10ac;9e60fee0-c251-4555-a5fb-609e29a9d154)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,4,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec723a-5ffb4a0b4d462dac54e010fd;821e34eb-f5bd-49b0-b6af-4e914a9a1557)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,4,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec723a-2c2defd54674de741925b9ac;8da9d23d-c61b-4256-96ad-1e276bbc9024)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,5,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec723a-1ccb7ba0605b6b3d729394d6;79f4f627-efbd-4306-b2ec-b1bda4904a6c)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,5,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec723a-202621b94778909d67ff55f3;0481be52-8730-429f-ad2b-2ed9bb132b1d)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,llama_8b,5,meta-llama/Meta-Llama-3-8B-Instruct,with_logprobs,1,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec723a-1c8db4d94adfe2307bc1724e;b643a315-1405-4da2-8998-ca0b224acfca)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,llama_8b,5,meta-llama/Meta-Llama-3-8B-Instruct,with_logprobs,2,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec7258-5d894ac9037e58162a851a3a;bb7791a5-e5ee-43d4-8739-62213d8612a3)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,5,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec727b-34d1898c49c12ed97cb1e3d2;3471f7dd-932f-4aee-9da1-629e140eb704)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,5,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec727b-5dbca7bb70aaf5df514aa6b9;39af7594-955a-4a4c-b2f4-8362e66eb12b)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,6,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec727b-35b3639d1495715f1acaac42;e5800c54-7892-4853-8266-7d384c42e196)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,6,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec727b-7a789c7056fcde5d75735ec3;ab433ed5-2842-4595-b4b6-5b35d06ebb7f)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,gpt_oss_20b,6,openai/gpt-oss-20b,without_logprobs,1,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec727e-264270071de002782dee6686;4443f976-c2e4-4bef-9c20-13df385c88e9)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,6,openai/gpt-oss-20b,without_logprobs,2,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec729c-606110987fcb34914309cddb;5cacb74c-918a-472e-b45f-d622774bdc52)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,6,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec72bb-62f20e2c5d71c6054833865f;2b8805fe-1ba6-43ff-a68f-2341a2ac91f0)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,6,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec72bb-1c4189964054f59d660c585b;87fc947c-1e85-4f1e-a17d-7f84d9102fd7)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,7,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec72bb-5f3f62a14e6fa51f013bcfec;582379f4-cdb8-4d47-a229-b571c4ea10e5)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,7,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec72bb-2c83b76d000690841e5deb2c;6898194f-8738-481a-9fde-45e693e39575)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,7,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec72bf-441196e0041a46d03a809cbf;f8d51de1-2898-482a-b0d8-59d2febe379e)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,7,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec72bf-5825baf42f47c88741fb6478;21ad5430-af32-468f-8e3c-ec6e4730334f)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,8,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec72bf-746a9a3062116b0a73e656b4;e46b72c8-770b-412c-8458-eb6fcc339d76)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,8,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec72bf-2f6555fd6b66aab92cc7fb74;4e92be8a-dd27-40ba-98cc-c1836f8889e7)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,llama_8b,8,meta-llama/Meta-Llama-3-8B-Instruct,with_logprobs,1,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec72bf-63427b3f7858d3cc798ec7fc;9ca5a023-a1ff-4483-bd24-5b95c71e078a)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,llama_8b,8,meta-llama/Meta-Llama-3-8B-Instruct,with_logprobs,2,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec72de-00fb89377a0ffaeb20cbd42e;3bb27874-dab0-4096-85d0-40fe596193dc)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,8,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec72ff-084276e706cc70eb74c39db7;922f4a2e-aab9-49d1-b601-444460524633)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,8,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec72ff-1e36e40c34e2b8cc065e6be0;8909f3b9-dbcc-4ac4-85ec-f30f119f162d)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,9,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec72ff-51e773562c8f98924e9e0892;1539ad3f-5ad6-44a8-95cf-ee284eeaf801)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,9,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec72ff-1b34393c66e280a25b4afec5;e36b762e-8630-4c53-9a6a-1ee4ec9bbd56)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,gpt_oss_20b,9,openai/gpt-oss-20b,without_logprobs,1,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec7302-0c7f3db04d9b528608af04e7;bdce0980-7381-4c57-852b-ae140ba76ebf)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,mixtral_8x22b,9,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec7321-206d206a17f3c87666bdffd2;46526661-4758-43f3-b416-ed47f11619ba)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,9,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec7321-4e431b332ca60bc40585ab6a;29bfa36c-f85d-4ae3-81b8-a4a756d12040)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,10,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec7321-5c645c7e696c88b2122e8e15;533c2679-41a8-468d-a9f9-66ebf64f024c)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,qwen_1_5b,10,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec7321-7ef1e9305d6014c113af79d2;c62a461e-5f1a-4ee8-bc9b-5e12403ffc14)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,10,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec7324-71702a395c2ebf6b0925b916;9a7d438f-3f12-475c-a741-d99d98f61678)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
tweet_sentiment,mixtral_8x22b,10,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec7324-3091c66446a7979f6c6cbb68;01c94f06-4313-4899-b2b0-828ed86cb30e)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,qwen_1_5b,1,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec7324-1c7f2835748d50147b144df2;40a03322-a2ef-475d-a777-ddcba7f79bb7)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,qwen_1_5b,1,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec7325-4424f3df11eaaafc7bcd9701;59adaaf1-5be3-4bdb-b5f4-0596306d38dd)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,llama_8b,1,meta-llama/Meta-Llama-3-8B-Instruct,with_logprobs,1,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec7325-6c0db7fe2973a0e558d65c19;ee594de9-f35f-4a5d-adc9-c49047f0768e)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
social_bias_frames,llama_8b,1,meta-llama/Meta-Llama-3-8B-Instruct,with_logprobs,2,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec7343-0e63230239dfffa2557e0547;61ffac17-b0fe-4833-a5b5-270b1eaf2e85)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
social_bias_frames,mixtral_8x22b,1,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec7364-14f0f3597f68f3c41c8bf498;25dd0bc7-0e48-47fd-a1b9-d682eb719f95)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,mixtral_8x22b,1,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec7364-6ab761aa20c30b8b4d97b0b7;0f7706bb-a17f-4e64-a8dd-ea1dfa352ad5)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,qwen_1_5b,2,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec7364-247deda350d51bf77bec81ca;69b2834f-c27e-41da-8063-79cf360e9e81)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,qwen_1_5b,2,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec7364-74f3cb7c5471cc081dd0958c;bcb19243-9888-49fe-a3db-a861e5cc083f)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,gpt_oss_20b,2,openai/gpt-oss-20b,without_logprobs,1,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec7367-0d9490901b4a23ed0d73260c;4c4cef4a-e682-49f4-849b-f5636c96cb7a)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
social_bias_frames,gpt_oss_20b,2,openai/gpt-oss-20b,without_logprobs,2,"Client error '402 Payment Required' for url 'https://router.huggingface.co/v1/chat/completions' (Request ID: Root=1-69ec7385-3b0048b04adb5c9800e238e5;3bd6e671-9d8f-4680-8e0b-486cbe64c364)
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
social_bias_frames,mixtral_8x22b,2,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec73a4-6e9cad8a5605956e418034a7;634b717a-d7c9-42ef-9cff-d2847d393d6d)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,mixtral_8x22b,2,mistralai/Mixtral-8x22B-Instruct-v0.1,without_logprobs,1,"(Request ID: Root=1-69ec73a4-676b6e9f79024a655eec2084;45c711b8-a3ed-4155-b7ec-acdd85c6a1d4)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,qwen_1_5b,3,Qwen/Qwen2.5-1.5B-Instruct,with_logprobs,1,"(Request ID: Root=1-69ec73a4-6367d3047a23936560af0344;e33cbbb7-1a65-48a3-8ac9-f77a394045db)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,qwen_1_5b,3,Qwen/Qwen2.5-1.5B-Instruct,without_logprobs,1,"(Request ID: Root=1-69ec73a4-467d06377962478d1904135d;e7a0cbee-8010-481b-98c3-0cf882a9dc45)

Bad request:
{'message': ""The requested model 'Qwen/Qwen2.5-1.5B-Instruct' is not supported by any provider you have enabled."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
social_bias_frames,mixtral_8x22b,3,mistralai/Mixtral-8x22B-Instruct-v0.1,with_logprobs,1,"(Request ID: Root=1-69ec73a8-06b44aef3ea6288e36863df7;86831417-9897-4ba2-812e-747ac2a0a5d5)

Bad request:
{'message': ""The requested model 'mistralai/Mixtral-8x22B-Instruct-v0.1' is not a chat model."", 'type': 'invalid_request_error', 'param': 'model', 'code': 'model_not_supported'}"
